DMI,density_z4,R_IRI,DMI_z2_x,density_z2,L_IRI,index,DMI_id,Density_x_y,R_IRI_y,DMI_z2_y,Density_y_y,L_IRI_y,DMI_fwd,D0,D48,SCI,BDI,BCI,Latitude,Longitude,Patching_color_map,Patching_depth,Patching_color
624,2.212,57.6,624,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670498,-87.165817,Good_condition,1,green
630,1.309,19.1,630,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670483,-87.165817,Good_condition,1,green
636,1.36,17.9,636,1.095,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670467,-87.165825,Good_condition,1,green
642,0.0,19.1,642,0.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670448,-87.165833,Good_condition,1,green
648,0.0,27.3,648,1.445,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670433,-87.16584,Good_condition,1,green
654,2.15,24.6,654,0.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670418,-87.16584,Surface_patching_warning,2,yellow
660,0.121,10.0,660,0.0,121.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670403,-87.165848,Surface_patching_warning,2,yellow
666,0.163,8.3,666,0.775,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670387,-87.165855,Good_condition,1,green
672,2.641,44.3,672,0.782,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670372,-87.165855,Good_condition,1,green
678,0.0,29.6,678,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670357,-87.165863,Good_condition,1,green
